!CSV A.01.01
!Keysight Technologies,N5242A,MY53222371,A.10.65.16
!Date: Tuesday, October 17, 2023 15:05:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
143800000,-1.3036102,86.720772
144400000,-1.1393802,70.418777
145000000,-0.97740579,56.306534
145600000,-0.83081633,44.271671
146200000,-0.70447934,34.048332
146800000,-0.60082799,25.368284
147400000,-0.51678073,17.862244
148000000,-0.44594783,11.410633
148600000,-0.39035749,5.7965875
149200000,-0.34163547,0.8424204
149800000,-0.30870816,-3.4599473
150400000,-0.2731204,-7.4090605
151000000,-0.24546294,-10.939623
151600000,-0.22775532,-14.114817
152200000,-0.20709752,-17.083561
152800000,-0.18801482,-19.780802
153400000,-0.17782515,-22.281834
154000000,-0.16402189,-24.577749
154600000,-0.15519121,-26.791256
155200000,-0.14157057,-28.872665
155800000,-0.13996094,-30.802023
156400000,-0.13114884,-32.636986
157000000,-0.12349012,-34.360806
157600000,-0.12399474,-36.06279
158200000,-0.11418238,-37.713818
158800000,-0.11494335,-39.274826
159400000,-0.11214571,-40.746399
160000000,-0.10976263,-42.203339
160600000,-0.10938082,-43.656719
161200000,-0.10669293,-45.061138
161800000,-0.10553858,-46.420181
162400000,-0.10361425,-47.71143
163000000,-0.10549868,-49.091671
163600000,-0.10246341,-50.376686
164200000,-0.10332796,-51.665707
164800000,-0.10018881,-52.90546
165400000,-0.10224719,-54.173199
166000000,-0.10283822,-55.441677
166600000,-0.10346993,-56.680664
167200000,-0.097970933,-57.908298
167800000,-0.10003839,-59.157063
168400000,-0.10071517,-60.385937
169000000,-0.10785398,-61.651646
169600000,-0.10353637,-62.910679
170200000,-0.11444882,-64.158783
170800000,-0.10723595,-65.4562
171400000,-0.11106515,-66.704567
172000000,-0.11769158,-68.010094
172600000,-0.12231612,-69.350533
173200000,-0.12050693,-70.67234
173800000,-0.12616214,-72.033531
174400000,-0.13379599,-73.435303
175000000,-0.1363686,-74.842781
175600000,-0.13985653,-76.301979
176200000,-0.13659754,-77.761749
176800000,-0.15090775,-79.260521
177400000,-0.15171313,-80.820946
178000000,-0.1514211,-82.419266
178600000,-0.16170441,-84.089256
179200000,-0.17787409,-85.801086
179800000,-0.17203264,-87.53923
180400000,-0.19813469,-89.323456
181000000,-0.19256063,-91.302574
181600000,-0.21339042,-93.35466
182200000,-0.21322425,-95.410652
182800000,-0.23151438,-97.612755
183400000,-0.2727423,-99.942482
184000000,-0.25405651,-102.40001
184600000,-0.2733787,-104.97202
185200000,-0.29285464,-107.78021
185800000,-0.3071835,-110.69824
186400000,-0.33873308,-113.87838
187000000,-0.3704159,-117.31557
187600000,-0.39830446,-121.00277
188200000,-0.43239045,-124.9655
188800000,-0.47272742,-129.3255
189400000,-0.51896513,-134.10139
190000000,-0.56835067,-139.30649
190600000,-0.63700336,-145.14963
191200000,-0.70876694,-151.56203
191800000,-0.78855371,-158.73889
192400000,-0.88681835,-166.66226
193000000,-0.98668104,-175.52873
193600000,-1.1032342,174.53436
194200000,-1.211979,163.54434
194800000,-1.3314136,151.45973
195400000,-1.440094,138.39117
196000000,-1.5196643,124.47855
196600000,-1.5666322,110.00782
197200000,-1.5651088,95.396416
197800000,-1.5407261,81.002464
198400000,-1.4769125,67.129974
199000000,-1.3874735,54.283546
199600000,-1.2776778,42.359428
200200000,-1.1663607,31.559166
200800000,-1.0626843,21.840008
201400000,-0.97208565,13.038412
202000000,-0.88676345,5.1786671
202600000,-0.79862064,-1.9486505
203200000,-0.73703402,-8.3619728
203800000,-0.67562991,-14.098148
204400000,-0.62143373,-19.386826
205000000,-0.57514489,-24.223057
205600000,-0.53676641,-28.660061
206200000,-0.5079785,-32.766556
206800000,-0.47219244,-36.619823
207400000,-0.45149156,-40.209282
208000000,-0.42114505,-43.532921
208600000,-0.41004112,-46.708649
209200000,-0.38490805,-49.683933
209800000,-0.37789664,-52.501736
210400000,-0.37146324,-55.202709
211000000,-0.35713908,-57.814949
211600000,-0.35049757,-60.303932
212200000,-0.3385711,-62.700119
212800000,-0.33471891,-64.978004
213400000,-0.33003783,-67.268372
214000000,-0.32239097,-69.452232
214600000,-0.32483929,-71.575897
215200000,-0.3252432,-73.673416
215800000,-0.32123956,-75.708862
216400000,-0.32458782,-77.807297
217000000,-0.32586506,-79.76284
217600000,-0.33302516,-81.698425
218200000,-0.3250246,-83.632385
218800000,-0.33138263,-85.582924
219400000,-0.33816937,-87.527992
220000000,-0.34140059,-89.338631
220600000,-0.34262899,-91.294868
221200000,-0.34892043,-93.138397
221800000,-0.35083032,-95.051308
222400000,-0.3549974,-96.931534
223000000,-0.35860971,-98.843628
223600000,-0.36482027,-100.78163
224200000,-0.37571543,-102.71583
224800000,-0.37892583,-104.63093
225400000,-0.38582617,-106.60629
226000000,-0.38583183,-108.60222
226600000,-0.39987394,-110.64986
227200000,-0.40938762,-112.66738
227800000,-0.41797906,-114.75291
228400000,-0.42544878,-116.80221
229000000,-0.44054177,-118.97034
229600000,-0.44180748,-121.18332
230200000,-0.45719182,-123.41401
230800000,-0.47283286,-125.71857
231400000,-0.47191405,-128.04271
232000000,-0.48755828,-130.38367
232600000,-0.49982128,-132.89413
233200000,-0.50191814,-135.39496
233800000,-0.51218337,-138.08783
234400000,-0.5238933,-140.77336
235000000,-0.53095168,-143.61403
235600000,-0.5343973,-146.56944
236200000,-0.55227071,-149.63571
236800000,-0.56341976,-152.86766
237400000,-0.57844818,-156.18533
238000000,-0.60275853,-159.70338
238600000,-0.61628652,-163.29457
239200000,-0.64016426,-167.11171
239800000,-0.67076457,-171.1494
240400000,-0.69357342,-175.39003
241000000,-0.72286487,-179.82182
241600000,-0.7642318,175.50237
242200000,-0.79556268,170.54672
242800000,-0.83513814,165.36371
243400000,-0.87810457,159.86328
244000000,-0.9242636,154.04378
244600000,-0.96842051,147.8609
245200000,-1.0199227,141.36154
245800000,-1.0610267,134.51439
246400000,-1.1208924,127.257
247000000,-1.1740787,119.61581
247600000,-1.2119751,111.65313
248200000,-1.2560326,103.38728
248800000,-1.2906853,94.72998
249400000,-1.3218539,85.905258
250000000,-1.3433402,76.758682
250600000,-1.351577,67.607735
251200000,-1.3525802,58.305569
251800000,-1.3539068,49.029125
252400000,-1.3478994,39.937698
253000000,-1.3110071,30.990738
253600000,-1.269097,22.223339
254200000,-1.2382952,13.836894
254800000,-1.1937737,5.6635094
255400000,-1.1606437,-2.1948612
256000000,-1.1047689,-9.6270142
256600000,-1.0807251,-16.681278
257200000,-1.0256389,-23.388353
257800000,-0.99012238,-29.739801
258400000,-0.95162982,-35.854591
259000000,-0.91621768,-41.641808
259600000,-0.8801142,-47.101025
260200000,-0.84357065,-52.279568
260800000,-0.82148635,-57.255695
261400000,-0.79724514,-61.968765
262000000,-0.77337259,-66.501213
262600000,-0.75165248,-70.827545
263200000,-0.71986473,-75.04425
263800000,-0.70823717,-79.017082
264400000,-0.69224477,-82.843063
265000000,-0.66963637,-86.572815
265600000,-0.66882044,-90.216263
266200000,-0.64541864,-93.636299
266800000,-0.64242715,-97.07061
267400000,-0.637061,-100.29558
268000000,-0.63074124,-103.54913
268600000,-0.63039851,-106.65762
269200000,-0.62674105,-109.73391
269800000,-0.62659377,-112.70716
270400000,-0.60720718,-115.78065
271000000,-0.60787171,-118.57755
271600000,-0.61193925,-121.40884
272200000,-0.60487425,-124.23188
272800000,-0.60430831,-127.06443
273400000,-0.60705709,-129.77446
274000000,-0.61191595,-132.4324
274600000,-0.62438685,-134.9959
275200000,-0.6211921,-137.77359
275800000,-0.61954153,-140.4566
276400000,-0.618402,-142.95721
277000000,-0.6157043,-145.56712
277600000,-0.62973082,-148.1441
278200000,-0.63310343,-150.68428
278800000,-0.63185209,-153.19681
279400000,-0.6425795,-155.75203
280000000,-0.65427667,-158.26665
280600000,-0.6486367,-160.79036
281200000,-0.65606087,-163.23962
281800000,-0.65209925,-165.8717
282400000,-0.65460974,-168.42871
283000000,-0.66002053,-170.95798
283600000,-0.65733731,-173.50938
284200000,-0.66776347,-176.09909
284800000,-0.66113746,-178.69981
285400000,-0.64992213,178.63522
286000000,-0.67602694,176.07356
286600000,-0.66345173,173.36415
287200000,-0.67878735,170.65646
287800000,-0.67352927,167.99075
288400000,-0.67789221,165.2229
289000000,-0.68876016,162.44044
289600000,-0.68622029,159.72293
290200000,-0.69020253,156.75011
290800000,-0.68729252,153.83009
291400000,-0.701123,150.9082
292000000,-0.71443421,147.91937
292600000,-0.72403866,144.9458
293200000,-0.72803277,141.83017
293800000,-0.73942196,138.62122
294400000,-0.73816812,135.49648
295000000,-0.740179,132.11072
295600000,-0.75275373,128.74022
296200000,-0.76068747,125.14083
296800000,-0.77090538,121.6663
297400000,-0.78311503,117.91954
298000000,-0.79436696,114.0388
298600000,-0.80434942,110.15188
299200000,-0.82087529,106.16467
299800000,-0.83268821,101.93346
300400000,-0.84246343,97.557365
301000000,-0.87500292,93.004105
301600000,-0.89505416,88.406357
302200000,-0.9285152,83.363533
302800000,-0.9639439,78.291946
303400000,-0.99137235,72.936806
304000000,-1.0283284,67.435753
304600000,-1.0761225,61.55542
305200000,-1.1392921,55.574722
305800000,-1.1834818,49.38512
306400000,-1.2501293,42.697353
307000000,-1.3003188,35.948814
307600000,-1.3764172,28.885874
308200000,-1.440968,21.569408
308800000,-1.5208867,13.997081
309400000,-1.5937939,6.1187396
310000000,-1.6481771,-1.7860097
310600000,-1.6884458,-9.7682438
311200000,-1.7810246,-18.182055
311800000,-1.8413743,-26.502897
312400000,-1.8980145,-34.918568
313000000,-1.9478806,-43.201763
313600000,-1.9782221,-51.444351
314200000,-2.0093541,-59.646347
314800000,-2.016654,-67.543724
315400000,-2.0412958,-75.285027
316000000,-2.0475874,-82.826942
316600000,-2.0391166,-90.084221
317200000,-2.0300176,-97.108253
317800000,-2.0032053,-103.76849
318400000,-1.9793868,-110.21824
319000000,-1.9528069,-116.40905
319600000,-1.9312103,-122.21484
320200000,-1.894642,-127.83791
320800000,-1.8762259,-133.22415
321400000,-1.8374679,-138.36107
322000000,-1.8010299,-143.21326
322600000,-1.7886811,-147.81853
323200000,-1.7522633,-152.34956
323800000,-1.7138637,-156.60507
324400000,-1.6838796,-160.65514
325000000,-1.6489234,-164.61725
325600000,-1.6195599,-168.39314
326200000,-1.5969696,-171.96465
326800000,-1.5505193,-175.5219
327400000,-1.5267838,-178.79829
328000000,-1.5085514,177.92397
328600000,-1.4868252,174.75452
329200000,-1.4476453,171.70836
329800000,-1.4179125,168.72015
330400000,-1.3929061,165.90463
331000000,-1.3668461,163.0563
331600000,-1.3531909,160.3887
332200000,-1.3358307,157.73148
332800000,-1.304544,155.08504
333400000,-1.2890798,152.55765
334000000,-1.2746056,150.02518
334600000,-1.2451295,147.64207
335200000,-1.233916,145.28658
335800000,-1.2046782,142.8965
336400000,-1.1813065,140.64293
337000000,-1.1738029,138.3262
337600000,-1.157171,136.16904
338200000,-1.1443017,133.89719
338800000,-1.1143945,131.77838
339400000,-1.1059756,129.58066
340000000,-1.0818772,127.48607
340600000,-1.0772216,125.39498
341200000,-1.0594189,123.22776
341800000,-1.0484871,121.10652
342400000,-1.0279597,119.0299
343000000,-1.0200675,116.96954
343600000,-0.9972955,114.78958
344200000,-0.98485172,112.72077
344800000,-0.96812314,110.70924
345400000,-0.96044141,108.5699
346000000,-0.95371926,106.41969
346600000,-0.9341231,104.43592
347200000,-0.94153857,102.26401
347800000,-0.93155104,100.12357
348400000,-0.92879254,97.9767
349000000,-0.92214048,95.722107
349600000,-0.90936917,93.511375
350200000,-0.91509062,91.285164
350800000,-0.91609734,89.027153
351400000,-0.91429102,86.615898
352000000,-0.92810977,84.232956
352600000,-0.9355157,81.919434
353200000,-0.9341321,79.406273
353800000,-0.95170593,76.808571
354400000,-0.96677023,74.168709
355000000,-0.97392207,71.437347
355600000,-0.98876715,68.587578
356200000,-1.0048865,65.609291
356800000,-1.0326923,62.485748
357400000,-1.0600474,59.297455
358000000,-1.0918134,55.882992
358600000,-1.1331782,52.33345
359200000,-1.1842062,48.546021
359800000,-1.2511182,44.52055
360400000,-1.3032248,40.14835
361000000,-1.3912412,35.648632
361600000,-1.4939328,30.689157
362200000,-1.5975997,25.359531
362800000,-1.7264855,19.592867
363400000,-1.8734796,13.346294
364000000,-2.0422466,6.5866909
364600000,-2.2418158,-0.83713257
365200000,-2.4703109,-8.940239
365800000,-2.7168,-17.703604
366400000,-2.9910204,-27.313784
367000000,-3.2799249,-37.713814
367600000,-3.5667431,-48.891384
368200000,-3.8457122,-60.845116
368800000,-4.0824771,-73.368546
369400000,-4.2635927,-86.259743
370000000,-4.3750539,-99.332985
370600000,-4.399148,-112.22363
371200000,-4.3520336,-124.58401
371800000,-4.2458363,-136.35007
372400000,-4.0966535,-147.31
373000000,-3.9099994,-157.35922
373600000,-3.7313926,-166.62106
374200000,-3.5393534,-174.97154
374800000,-3.3395481,177.38835
375400000,-3.1674879,170.51225
376000000,-3.0122828,164.1886
376600000,-2.8542376,158.49216
377200000,-2.7147593,153.2608
377800000,-2.5880487,148.44016
378400000,-2.4685154,143.94864
379000000,-2.370151,139.84052
379600000,-2.270499,136.00471
380200000,-2.1838374,132.41978
380800000,-2.1060588,129.09
381400000,-2.0379624,125.8596
382000000,-1.9756563,122.87543
382600000,-1.9105452,120.05249
383200000,-1.8592185,117.37431
383800000,-1.8006275,114.83276
384400000,-1.7685032,112.41982
385000000,-1.719934,109.99713
385600000,-1.6794535,107.79605
386200000,-1.6440526,105.51794
386800000,-1.6131108,103.44704
387400000,-1.587429,101.41427
388000000,-1.5640533,99.462967
388600000,-1.5552026,97.476456
389200000,-1.5418378,95.641113
389800000,-1.5248376,93.827065
390400000,-1.5061491,92.003609
391000000,-1.5246197,90.301521
391600000,-1.4899846,88.62114
392200000,-1.4921113,86.845444
392800000,-1.501194,85.29052
393400000,-1.4869692,83.629601
394000000,-1.4929694,81.956985
394600000,-1.4949739,80.418854
395200000,-1.4916685,78.787399
395800000,-1.506303,77.206505
396400000,-1.5048116,75.590919
397000000,-1.533957,73.991264
397600000,-1.5546824,72.443085
398200000,-1.5864043,70.767326
398800000,-1.6134888,69.171295
399400000,-1.6680157,67.563187
400000000,-1.7033165,65.957153
400600000,-1.7561044,64.320328
401200000,-1.8243685,62.741272
401800000,-1.8816074,61.124226
402400000,-1.9631029,59.568321
403000000,-2.048768,58.017014
403600000,-2.1411479,56.502872
404200000,-2.2428653,55.0135
404800000,-2.3499515,53.524658
405400000,-2.4715149,51.944836
406000000,-2.5885346,50.394032
406600000,-2.7274976,48.963169
407200000,-2.8704755,47.488266
407800000,-3.0334125,46.029034
408400000,-3.2010276,44.615993
409000000,-3.3944685,43.228054
409600000,-3.5751464,41.890072
410200000,-3.784055,40.524818
410800000,-3.997865,39.313541
411400000,-4.2423868,38.168255
412000000,-4.4904256,37.007168
412600000,-4.7491059,36.009552
413200000,-5.0329261,35.050983
413800000,-5.3276372,34.28157
414400000,-5.6350904,33.536484
415000000,-5.9537764,32.995857
415600000,-6.2957239,32.543537
416200000,-6.6335049,32.283775
416800000,-7.0010071,32.203724
417400000,-7.3554707,32.32724
418000000,-7.7265472,32.811493
418600000,-8.1004448,33.392727
419200000,-8.4626474,34.247597
419800000,-8.8150854,35.422131
420400000,-9.1594524,36.912472
421000000,-9.4687777,38.609066
421600000,-9.7471952,40.703106
422200000,-9.9787273,42.887947
422800000,-10.170223,45.316235
423400000,-10.313745,47.881821
424000000,-10.404777,50.449249
424600000,-10.409478,53.016621
425200000,-10.394603,55.674538
425800000,-10.301002,58.128216
426400000,-10.18975,60.268997
427000000,-10.020541,62.295559
427600000,-9.8104248,64.050896
428200000,-9.6210661,65.489487
428800000,-9.4004345,66.612564
429400000,-9.1730185,67.593452
430000000,-8.95648,68.358826
430600000,-8.7472277,68.917664
431200000,-8.5459175,69.303253
431800000,-8.3509436,69.506134
432400000,-8.1699276,69.6633
433000000,-8.0038691,69.754433
433600000,-7.8536053,69.725952
434200000,-7.7079377,69.697639
434800000,-7.566493,69.626617
435400000,-7.4379811,69.51442
436000000,-7.3038168,69.361931
436600000,-7.1849065,69.212753
437200000,-7.0610709,68.989594
437800000,-6.9495358,68.7593
438400000,-6.8352799,68.494957
439000000,-6.7384601,68.193756
439600000,-6.6396427,67.886284
440200000,-6.5474119,67.499702
440800000,-6.4635816,67.220093
441400000,-6.3771448,66.876358
442000000,-6.3000517,66.379913
442600000,-6.2203193,65.98175
443200000,-6.1402974,65.51683
443800000,-6.0838127,65.106827
444400000,-6.0194068,64.613403
445000000,-5.9705305,64.150291
445600000,-5.9078894,63.56892
446200000,-5.864377,63.010689
446800000,-5.8269587,62.573112
447400000,-5.8048244,62.023842
448000000,-5.7835784,61.47068
448600000,-5.7691364,61.018764
449200000,-5.7711086,60.534588
449800000,-5.7521892,60.136669
450400000,-5.7520604,59.668083
451000000,-5.7497897,59.392937
451600000,-5.7412701,59.0755
452200000,-5.737412,58.701645
452800000,-5.7347474,58.309525
453400000,-5.7320347,58.067013
454000000,-5.7296796,57.696461
454600000,-5.7266936,57.313881
455200000,-5.7363653,57.024624
455800000,-5.7489676,56.604355
456400000,-5.7525444,56.328884
457000000,-5.7651939,56.102531
457600000,-5.7871642,55.913078
458200000,-5.7976966,55.632515
458800000,-5.8178849,55.437668
459400000,-5.8265438,55.279301
460000000,-5.8439765,55.078201
460600000,-5.855741,54.936909
461200000,-5.8597889,54.767483
461800000,-5.880106,54.653931
462400000,-5.8964458,54.452793
463000000,-5.8994627,54.420128
463600000,-5.9254723,54.236851
464200000,-5.9354315,54.214417
464800000,-5.9497213,54.119041
465400000,-5.9651179,54.026085
466000000,-5.9652877,54.074959
466600000,-5.9668655,54.042274
467200000,-5.9638829,54.09161
467800000,-5.9653921,53.994865
468400000,-5.9523554,54.011967
469000000,-5.9423313,53.996353
469600000,-5.9285212,53.97229
470200000,-5.9196258,53.907581
470800000,-5.8940282,53.782585
471400000,-5.88589,53.716129
472000000,-5.8778777,53.582695
472600000,-5.8554077,53.493282
473200000,-5.8320365,53.319714
473800000,-5.8210549,53.010918
474400000,-5.8119688,52.79657
475000000,-5.8106546,52.584835
475600000,-5.8007078,52.306099
476200000,-5.8151975,52.05687
476800000,-5.820456,51.798122
477400000,-5.8445363,51.52705
478000000,-5.8605118,51.307636
478600000,-5.8979869,51.136288
479200000,-5.935483,50.938385
479800000,-5.9683423,50.907688
480400000,-6.0060949,50.751595
481000000,-6.0415115,50.7822
481600000,-6.0799398,50.801361
482200000,-6.1009789,50.869144
482800000,-6.1362734,50.865307
483400000,-6.1568542,50.930592
484000000,-6.1745148,51.08897
484600000,-6.2054663,51.117889
485200000,-6.2059884,51.234146
485800000,-6.2353764,51.296833
486400000,-6.2487149,51.511787
487000000,-6.2675076,51.601425
487600000,-6.2812829,51.75906
488200000,-6.3038473,52.00703
488800000,-6.3106012,52.251827
489400000,-6.3111067,52.395493
490000000,-6.3228192,52.643227
490600000,-6.3187461,52.89312
491200000,-6.3219247,53.132225
491800000,-6.3034701,53.41029
492400000,-6.2842016,53.737881
493000000,-6.2690678,53.917862
493600000,-6.2489944,54.161503
494200000,-6.218071,54.383308
494800000,-6.2035894,54.594135
495400000,-6.1723332,54.756832
496000000,-6.1441545,54.943539
496600000,-6.1013026,55.068184
497200000,-6.0627904,55.20726
497800000,-6.0402942,55.367908
498400000,-5.9971642,55.448639
499000000,-5.975863,55.520168
499600000,-5.9473333,55.618267
500200000,-5.9215989,55.740963
500800000,-5.8924446,55.773266
501400000,-5.8623471,55.95195
502000000,-5.8336287,56.007202
502600000,-5.8035975,56.180859
503200000,-5.7644148,56.273907
503800000,-5.731988,56.460445
504400000,-5.6960673,56.599854
505000000,-5.6484127,56.741211
505600000,-5.5900006,56.863392
506200000,-5.5489712,57.024216
506800000,-5.4981356,57.065918
507400000,-5.4323564,57.131493
508000000,-5.3769293,57.129318
508600000,-5.3164177,57.147068
509200000,-5.2639556,57.034912
509800000,-5.2062449,56.944141
510400000,-5.1568141,56.884411
511000000,-5.105052,56.775219
511600000,-5.0626006,56.630104
512200000,-5.0194325,56.582897
512800000,-4.9708128,56.356815
513400000,-4.9360032,56.193478
514000000,-4.8945403,56.079945
514600000,-4.8724461,55.987411
515200000,-4.8400249,55.810158
515800000,-4.8135428,55.746967
516400000,-4.7747331,55.64397
517000000,-4.7404327,55.552605
517600000,-4.7098823,55.406197
518200000,-4.6825314,55.3288
518800000,-4.6502948,55.224213
519400000,-4.6041007,55.109619
520000000,-4.5653691,54.996422
520600000,-4.5430841,54.854885
521200000,-4.5096393,54.783184
521800000,-4.4782228,54.543556
522400000,-4.4613147,54.405323
523000000,-4.4251885,54.292717
523600000,-4.4004431,54.095943
524200000,-4.3918953,53.999207
524800000,-4.3645759,53.882671
525400000,-4.3543034,53.779694
526000000,-4.3361478,53.655682
526600000,-4.3134465,53.551765
527200000,-4.2945585,53.522255
527800000,-4.2847815,53.517765
528400000,-4.2688069,53.503983
529000000,-4.2328157,53.392689
529600000,-4.2045722,53.404919
530200000,-4.176712,53.38055
530800000,-4.148931,53.351765
531400000,-4.1249056,53.361553
532000000,-4.0788217,53.314606
532600000,-4.0469742,53.285027
533200000,-4.0013127,53.170704
533800000,-3.9622152,53.073593
534400000,-3.917263,52.98135
535000000,-3.8782156,52.902142
535600000,-3.8359954,52.696785
536200000,-3.7968161,52.609055
536800000,-3.7618673,52.444263
537400000,-3.7243218,52.290943
538000000,-3.6905806,52.133335
538600000,-3.6515517,51.967987
539200000,-3.6150966,51.859379
539800000,-3.5810883,51.667213
540400000,-3.5500748,51.445156
541000000,-3.5101876,51.363899
541600000,-3.4707468,51.082397
542200000,-3.4527805,50.863049
542800000,-3.4192955,50.704838
543400000,-3.3751259,50.430958
544000000,-3.3403513,50.205315
544600000,-3.3139203,49.918941
545200000,-3.2888513,49.694447
545800000,-3.2616031,49.430771
546400000,-3.2516057,49.162052
547000000,-3.2304077,48.871956
547600000,-3.2030749,48.562271
548200000,-3.1935551,48.415829
548800000,-3.18503,48.065262
549400000,-3.173665,47.916977
550000000,-3.1668065,47.697594
550600000,-3.141638,47.429722
551200000,-3.1436744,47.214745
551800000,-3.1296124,46.962372
552400000,-3.1257024,46.765911
553000000,-3.1130099,46.532196
553600000,-3.1188681,46.328514
554200000,-3.1085672,46.110821
554800000,-3.1088142,45.89856
555400000,-3.1061897,45.684566
556000000,-3.1066601,45.542648
556600000,-3.1091394,45.349182
557200000,-3.1130588,45.126472
557800000,-3.1189313,45.047382
558400000,-3.1234887,44.922272
559000000,-3.1106908,44.811794
559600000,-3.1228397,44.711315
560200000,-3.1229165,44.595711
560800000,-3.1171744,44.480286
561400000,-3.1173098,44.418659
562000000,-3.1124799,44.364914
562600000,-3.1159899,44.333206
563200000,-3.1052008,44.301586
563800000,-3.0956631,44.198761
564400000,-3.0945711,44.113865
565000000,-3.0781584,44.120224
565600000,-3.0694249,44.043774
566200000,-3.0556569,43.942741
566800000,-3.032604,43.878452
567400000,-3.0223384,43.758801
568000000,-3.0184195,43.67942
568600000,-2.9890907,43.55249
569200000,-2.9802849,43.488041
569800000,-2.9768884,43.317886
570400000,-2.9669235,43.147167
571000000,-2.9452171,43.108654
571600000,-2.9461122,42.970913
572200000,-2.9420388,42.865288
572800000,-2.9358273,42.797386
573400000,-2.9367213,42.642746
574000000,-2.9205413,42.562386
574600000,-2.9252858,42.493061
575200000,-2.9118676,42.340431
575800000,-2.9059896,42.255157
576400000,-2.8945787,42.201866
577000000,-2.8923686,42.101456
577600000,-2.8916359,42.010719
578200000,-2.8868155,41.950783
578800000,-2.8896351,41.826611
579400000,-2.8804355,41.758766
580000000,-2.8831067,41.626625
580600000,-2.8879247,41.651455
581200000,-2.8858278,41.601963
581800000,-2.8885505,41.579781
582400000,-2.8819985,41.588127
583000000,-2.884254,41.612556
583600000,-2.8765297,41.629959
584200000,-2.8697248,41.630238
584800000,-2.8692396,41.609039
585400000,-2.865171,41.64576
586000000,-2.8499081,41.67672
586600000,-2.8438859,41.685532
587200000,-2.8345838,41.629948
587800000,-2.8298755,41.756695
588400000,-2.8097453,41.783897
589000000,-2.8024042,41.841427
589600000,-2.7853935,41.917645
590200000,-2.7793522,41.94101
590800000,-2.756882,41.990723
591400000,-2.7349575,42.112225
592000000,-2.7066765,42.185692
592600000,-2.6861532,42.203018
593200000,-2.6609647,42.288368
593800000,-2.6303747,42.353489
594400000,-2.6019087,42.425663
595000000,-2.5588999,42.439072
595600000,-2.522774,42.490108
596200000,-2.4836168,42.423374
596800000,-2.4459317,42.483185
597400000,-2.4089417,42.41684
598000000,-2.3801265,42.407669
598600000,-2.330416,42.366283
599200000,-2.2971478,42.305771
599800000,-2.2589879,42.272476
600400000,-2.2187476,42.091797
601000000,-2.1807392,42.076115
601600000,-2.1440585,42.003838
602200000,-2.0957024,41.939472
602800000,-2.0672698,41.882656
603400000,-2.0208657,41.724377
604000000,-1.9928707,41.617386
604600000,-1.9441401,41.470116
605200000,-1.9156038,41.337738
605800000,-1.8830417,41.164429
606400000,-1.8414683,41.023453
